locationdesc,category,response,age,gender,raceethnicity,data_value(%),low_confidence_limit,high_confidence_limit,numerator,sample_size,locationid,longitude,latitude
Idaho,Other Retinal Disorders,Non-Occlusive retinal vascular disease,All ages,All genders,"Black, non-Hispanic",0.02,0.01,0.87,60.0,1600.0,16,-114.3637300419,43.682630005
Texas,Orbital and External Disease,Eyelid disorders,40 years and older,Male,All races,0.49,0.45,0.54,480.0,97600.0,48,-99.42677020599,31.827240407
New York,Age Related Macular Degeneration,Vision threatening stage,40-64 years,Male,Asian,0.08,0.06,0.1,70.0,90600.0,36,-75.54397042699,42.827001032
Oregon,Diabetic Eye Diseases,Non-proliferative,40 years and older,Male,North American Native,0.74,0.36,1.36,70.0,1300.0,41,-120.1550313259,44.567449424
Virginia,Infectious and Inflammatory Diseases,Keratitis,18-39 years,All genders,Other,0.25,0.08,0.58,70.0,2000.0,51,-78.45789046299,37.542680674
Florida,Orbital and External Disease,Disorders of the globe,18 years and older,Female,Unknown,0.05,0.03,0.06,40.0,89100.0,12,-81.92896053899,28.932040377
Colorado,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,All ages,Female,Other,0.0,0.0,0.18,80.0,2100.0,8,-106.1336109209,38.843840757
Illinois,Glaucoma,Suspect or unclassified glaucoma,40 years and older,All genders,"Hispanic, any race",1.95,1.85,2.06,1200.0,63100.0,17,-88.99771017799,40.485010283
Maryland,Other Retinal Disorders,Branch retinal vein occlusion,All ages,Male,North American Native,0.0,0.0,0.16,120.0,2400.0,24,-76.60926011099,39.290580964
Montana,Diabetic Eye Diseases,Non-proliferative,18-39 years,Female,"Black, non-Hispanic",0.0,0.0,0.94,60.0,390.0,30,-109.4244206449,47.066528972
Michigan,Retinal Detachment and Defects,Retinal detachment and defects,18-39 years,All genders,All races,0.07,0.06,0.07,560.0,826500.0,26,-84.71439026999,44.661319543
Illinois,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,40-64 years,Female,"White, non-Hispanic",0.0,0.0,0.01,120.0,134000.0,17,-88.99771017799,40.485010283
Missouri,Infectious and Inflammatory Diseases,Keratitis,All ages,Male,"White, non-Hispanic",0.1,0.09,0.12,190.0,193900.0,29,-92.56630005299,38.635790776
Florida,Orbital and External Disease,All Orbital and external disease,40 years and older,Female,Unknown,2.36,2.21,2.52,860.0,36300.0,12,-81.92896053899,28.932040377
California,Age Related Macular Degeneration,Unspecified-age related macular degeneration,All ages,Male,Asian,0.03,0.03,0.04,170.0,498500.0,6,-120.9999995379,37.638640123
Kansas,Cornea Disorders,Cornea disorder related to contact lens,All ages,All genders,Unknown,0.02,0.02,0.03,70.0,314500.0,20,-98.20078122699,38.3477403
National,Cornea Disorders,Corneal transplant,65 years and older,All genders,Other,0.0,0.0,0.07,890.0,5300.0,59,-93.23609634939444,40.43953357133333
Georgia,Other Retinal Disorders,Central retinal vein occlusion,0-17 years,Male,"White, non-Hispanic",0.03,0.02,0.47,90.0,7000.0,13,-83.62758034599,32.839681093
Montana,"Injury, Burns and Surgical Complications of the Eye","All Injury, burns and surgical complications of the eye",65-84 years,Male,"Black, non-Hispanic",0.02,0.01,0.62,60.0,3700.0,30,-109.4244206449,47.066528972
Indiana,Cornea Disorders,Cornea disorder related to contact lens,18 years and older,Female,Other,0.04,0.02,0.33,70.0,15400.0,18,-86.14996019399,39.766910452
Ohio,Diabetic Eye Diseases,Non-vision threatening stage,65-84 years,Female,All races,2.42,2.16,2.71,290.0,12100.0,39,-82.40426005599,40.060210141
Washington,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,All ages,Female,All races,0.2,0.19,0.21,1900.0,941100.0,53,-120.4700107899,47.522278629
New Jersey,Glaucoma,Secondary glaucoma,0-17 years,All genders,North American Native,0.0,0.0,0.14,120.0,2700.0,34,-74.27369128799,40.130570048
Idaho,Orbital and External Disease,Lacrimal diseases,0-17 years,All genders,"White, non-Hispanic",0.13,0.11,0.14,250.0,195500.0,16,-114.3637300419,43.682630005
Iowa,Infectious and Inflammatory Diseases,Other/unspecified infectious and inflammatory diseases,40 years and older,Female,"White, non-Hispanic",0.23,0.19,0.28,90.0,41400.0,19,-93.81649055599,42.469400913
Nebraska,Age Related Macular Degeneration,Geographic atrophy,18-39 years,Male,"White, non-Hispanic",0.0,0.0,0.05,30.0,7600.0,31,-99.36572062299,41.641040988
California,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,18 years and older,Male,Unknown,0.14,0.13,0.16,320.0,225300.0,6,-120.9999995379,37.638640123
Montana,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),65-84 years,All genders,"Hispanic, any race",0.02,0.01,0.62,60.0,3700.0,30,-109.4244206449,47.066528972
Indiana,Orbital and External Disease,Lacrimal diseases,65 years and older,All genders,Unknown,0.04,0.02,0.33,70.0,15400.0,18,-86.14996019399,39.766910452
Oregon,Diabetic Eye Diseases,Severe non-proliferative,0-17 years,Female,All races,0.0,0.0,0.0,70.0,202200.0,41,-120.1550313259,44.567449424
Oregon,Diabetic Eye Diseases,Non-vision threatening stage,18-39 years,Male,Other,0.0,0.0,0.49,70.0,760.0,41,-120.1550313259,44.567449424
Montana,Other Visual Disturbances,Other/unspecified visual disturbances,18 years and older,All genders,All races,1.04,0.99,1.09,1500.0,148900.0,30,-109.4244206449,47.066528972
Ohio,Glaucoma,Open-angle glaucoma,40-64 years,All genders,Unknown,0.52,0.46,0.6,220.0,41700.0,39,-82.40426005599,40.060210141
California,Other Retinal Disorders,Hereditary chorioretinal dystrophy,65-84 years,Male,Asian,0.08,0.04,0.12,20.0,20900.0,6,-120.9999995379,37.638640123
National,Glaucoma,Glaucoma suspect,0-17 years,All genders,North American Native,0.2,0.18,0.21,800.0,405700.0,59,-93.23609634939444,40.43953357133333
Ohio,Age Related Macular Degeneration,Advanced GA or Inactive CNV,65-84 years,Female,"Black, non-Hispanic",0.11,0.03,0.29,130.0,3600.0,39,-82.40426005599,40.060210141
Georgia,Cornea Disorders,Other corneal disorders,65 years and older,Male,North American Native,0.03,0.02,0.47,90.0,7000.0,13,-83.62758034599,32.839681093
Nebraska,Other Retinal Disorders,Central retinal vein occlusion,18 years and older,Female,"White, non-Hispanic",0.02,0.01,0.04,30.0,29800.0,31,-99.36572062299,41.641040988
Montana,Infectious and Inflammatory Diseases,Infectious diseases,65-84 years,All genders,"Black, non-Hispanic",0.02,0.01,0.62,60.0,3700.0,30,-109.4244206449,47.066528972
Massachusetts,Other Visual Disturbances,All Other visual disturbances,0-17 years,All genders,Asian,1.4,1.24,1.58,280.0,19600.0,25,-72.08269067499,42.27687047
North Carolina,Other Retinal Disorders,Occlusive retinal vascular disease,40-64 years,All genders,Other,0.0,0.0,0.08,70.0,4700.0,37,-79.15925046299,35.466220975
New Hampshire,Other Visual Disturbances,Color blindness,All ages,Female,"Black, non-Hispanic",0.0,0.0,0.14,40.0,2500.0,33,-71.50036091999,43.655950113
Missouri,Other Retinal Disorders,Branch retinal vein occlusion,40 years and older,Male,Unknown,0.06,0.02,0.16,60.0,6300.0,29,-92.56630005299,38.635790776
Georgia,Other Retinal Disorders,Hereditary chorioretinal dystrophy,All ages,Female,"Black, non-Hispanic",0.01,0.01,0.02,70.0,547800.0,13,-83.62758034599,32.839681093
Georgia,Orbital and External Disease,Lacrimal diseases,85 years and older,Male,Asian,0.0,0.0,7.25,90.0,50.0,13,-83.62758034599,32.839681093
Delaware,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),0-17 years,All genders,"Black, non-Hispanic",0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
Oklahoma,Orbital and External Disease,Other/unspecified orbital and external disease,18 years and older,Male,Unknown,0.04,0.02,0.42,60.0,6700.0,40,-97.52107021399,35.472031356
Nebraska,Orbital and External Disease,All Orbital and external disease,40-64 years,Male,"Hispanic, any race",0.79,0.22,2.01,30.0,510.0,31,-99.36572062299,41.641040988
Connecticut,Other Retinal Disorders,Non-Occlusive retinal vascular disease,85 years and older,All genders,"White, non-Hispanic",1.5,0.6,3.06,100.0,470.0,9,-72.64984095199,41.56266102
Missouri,Diabetic Eye Diseases,Severe non-proliferative,18-39 years,Female,"Hispanic, any race",0.0,0.0,0.04,60.0,10500.0,29,-92.56630005299,38.635790776
Louisiana,Age Related Macular Degeneration,Unspecified-age related macular degeneration,18 years and older,All genders,North American Native,0.0,0.0,0.11,130.0,3300.0,22,-92.44568007099,31.312660644
Idaho,Other Retinal Disorders,Other/unspecified other retinal disorders,18-39 years,Female,"Hispanic, any race",0.02,0.01,0.87,60.0,1600.0,16,-114.3637300419,43.682630005
South Dakota,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,40 years and older,Male,Asian,0.0,0.0,10.58,40.0,30.0,46,-100.3735306369,44.353130053
Wyoming,Diabetic Eye Diseases,Diabetic macular edema,40 years and older,Female,Unknown,0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
West Virginia,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,65-84 years,All genders,All races,0.01,0.01,0.5,60.0,3200.0,54,-80.71264013499,38.665510202
Georgia,Other Visual Disturbances,Night blindness,65 years and older,Male,Other,0.03,0.02,0.47,90.0,7000.0,13,-83.62758034599,32.839681093
District Of Columbia,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,18-39 years,Male,Asian,0.0,0.0,1.85,50.0,200.0,11,-77.03196112699,38.890371385
Delaware,Cornea Disorders,Cornea disorder related to contact lens,65 years and older,Male,Other,0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
Nebraska,Other Visual Disturbances,Other/unspecified visual disturbances,65-84 years,All genders,Asian,0.64,0.13,1.85,30.0,470.0,31,-99.36572062299,41.641040988
North Dakota,Diabetic Eye Diseases,Other diabetes related eye disorders,All ages,Male,"Hispanic, any race",0.13,0.03,0.37,30.0,2400.0,38,-100.1184210489,47.475319779
Delaware,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,0-17 years,Female,"Hispanic, any race",0.41,0.3,0.54,50.0,11900.0,10,-75.57774116799,39.008830667
Mississippi,Orbital and External Disease,All Orbital and external disease,0-17 years,Male,All races,0.65,0.61,0.68,1400.0,209200.0,28,-89.53803082499,32.745510099
Oregon,Other Retinal Disorders,All Other retinal disorders,65 years and older,Female,"Hispanic, any race",3.81,1.76,7.12,70.0,240.0,41,-120.1550313259,44.567449424
Rhode Island,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,65-84 years,All genders,All races,0.11,0.08,0.38,100.0,37000.0,44,-71.52247031399,41.708280193
Colorado,Other Visual Disturbances,Color blindness,18-39 years,Female,All races,0.0,0.0,0.01,80.0,287900.0,8,-106.1336109209,38.843840757
Michigan,Other Retinal Disorders,Central retinal vein occlusion,85 years and older,Female,Unknown,0.0,0.0,0.93,110.0,400.0,26,-84.71439026999,44.661319543
Kansas,Other Visual Disturbances,Visual field defect,85 years and older,Female,"Hispanic, any race",0.0,0.0,5.4399999999,70.0,70.0,20,-98.20078122699,38.3477403
Wisconsin,Other Visual Disturbances,Visual field defect,85 years and older,Male,"White, non-Hispanic",0.04,0.02,0.33,70.0,13100.0,55,-89.81637074199,44.393191174
West Virginia,Orbital and External Disease,Congenital anomalies,40 years and older,All genders,Unknown,0.02,0.01,0.03,60.0,47500.0,54,-80.71264013499,38.665510202
New Mexico,Other Retinal Disorders,Non-Occlusive retinal vascular disease,40-64 years,Female,All races,0.22,0.19,0.25,180.0,81200.0,35,-106.2405809849,34.520880952
New Mexico,Orbital and External Disease,Congenital anomalies,65 years and older,All genders,"Hispanic, any race",0.0,0.0,1.75,80.0,210.0,35,-106.2405809849,34.520880952
Louisiana,Other Retinal Disorders,Occlusive retinal vascular disease,All ages,All genders,Other,0.07,0.05,0.31,130.0,55200.0,22,-92.44568007099,31.312660644
Mississippi,Glaucoma,Other/unspecified glaucoma,40 years and older,Female,"White, non-Hispanic",0.08,0.04,0.15,90.0,11400.0,28,-89.53803082499,32.745510099
Kansas,Other Retinal Disorders,Retinopathy of prematurity,40-64 years,All genders,Unknown,0.0,0.0,0.01,70.0,24900.0,20,-98.20078122699,38.3477403
Missouri,Age Related Macular Degeneration,Wet-form age-related macular degeneration,18-39 years,Female,Asian,0.0,0.0,0.45,60.0,820.0,29,-92.56630005299,38.635790776
Puerto Rico,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,18-39 years,All genders,"Black, non-Hispanic",0.0,0.0,4.99,90.0,70.0,72,-66.590149,18.220833
Texas,Other Retinal Disorders,Other/unspecified other retinal disorders,18-39 years,Female,Asian,0.13,0.07,0.21,10.0,11200.0,48,-99.42677020599,31.827240407
Illinois,Cornea Disorders,Cornea disorder related to contact lens,65-84 years,Male,"White, non-Hispanic",0.12,0.07,0.38,120.0,22700.0,17,-88.99771017799,40.485010283
Oregon,Cornea Disorders,Endothelial dystrophy (Fuchs),18 years and older,Male,"Hispanic, any race",0.01,0.0,0.01,70.0,96300.0,41,-120.1550313259,44.567449424
Oklahoma,Diabetic Eye Diseases,Other diabetes related eye disorders,65 years and older,Female,Other,0.04,0.02,0.42,60.0,6700.0,40,-97.52107021399,35.472031356
Minnesota,Other Retinal Disorders,Myopic degeneration,65-84 years,Male,"White, non-Hispanic",0.09,0.02,0.26,80.0,3300.0,27,-94.79420050299,46.355648736
New Hampshire,Other Retinal Disorders,Occlusive retinal vascular disease,65 years and older,Male,North American Native,0.01,0.0,0.76,40.0,1200.0,33,-71.50036091999,43.655950113
Connecticut,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,40 years and older,Male,All races,1.28,1.21,1.35,1300.0,105100.0,9,-72.64984095199,41.56266102
Missouri,Glaucoma,Open-angle glaucoma,65 years and older,Female,Other,0.04,0.02,0.59,60.0,3900.0,29,-92.56630005299,38.635790776
Connecticut,Orbital and External Disease,Congenital anomalies,85 years and older,All genders,North American Native,0.17,0.1,0.6,100.0,8800.0,9,-72.64984095199,41.56266102
Colorado,Age Related Macular Degeneration,Non-vision threatening stage,40-64 years,All genders,"Black, non-Hispanic",0.11,0.07,0.16,20.0,20200.0,8,-106.1336109209,38.843840757
Connecticut,Cornea Disorders,Other corneal disorders,18 years and older,Female,"White, non-Hispanic",0.34,0.3,0.37,390.0,116400.0,9,-72.64984095199,41.56266102
Missouri,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),18 years and older,All genders,"Hispanic, any race",0.11,0.07,0.17,20.0,18500.0,29,-92.56630005299,38.635790776
California,Orbital and External Disease,Other/unspecified orbital and external disease,85 years and older,Male,Asian,0.13,0.09,0.22,250.0,136000.0,6,-120.9999995379,37.638640123
California,Diabetic Eye Diseases,Diabetic macular edema,18-39 years,All genders,"White, non-Hispanic",0.04,0.03,0.04,320.0,848500.0,6,-120.9999995379,37.638640123
Rhode Island,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,0-17 years,Female,Unknown,0.23,0.19,0.29,90.0,36700.0,44,-71.52247031399,41.708280193
Virginia,Cornea Disorders,Endothelial dystrophy (Fuchs),65 years and older,Female,Asian,0.07,0.04,0.36,70.0,8800.0,51,-78.45789046299,37.542680674
Hawaii,Diabetic Eye Diseases,Vision threatening stage,85 years and older,All genders,"Black, non-Hispanic",0.1,0.05,0.45,60.0,7900.0,15,-157.8577494029,21.304850435
Louisiana,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,All ages,Male,Unknown,0.09,0.07,0.1,210.0,248400.0,22,-92.44568007099,31.312660644
Connecticut,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,40-64 years,Female,Other,0.0,0.0,1.69,100.0,220.0,9,-72.64984095199,41.56266102
Illinois,Diabetic Eye Diseases,Non-proliferative,All ages,All genders,Unknown,0.26,0.23,0.29,300.0,114900.0,17,-88.99771017799,40.485010283
Oklahoma,Glaucoma,Secondary glaucoma,65 years and older,Female,Unknown,0.04,0.02,0.42,60.0,6700.0,40,-97.52107021399,35.472031356
Delaware,Cornea Disorders,Keratoconus,40-64 years,Male,"White, non-Hispanic",0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
Connecticut,Other Visual Disturbances,Night blindness,40-64 years,All genders,Unknown,0.01,0.0,0.02,100.0,85100.0,9,-72.64984095199,41.56266102
District Of Columbia,Age Related Macular Degeneration,Choroidal neovascularization,85 years and older,Male,All races,0.0,0.0,0.7,50.0,1300.0,11,-77.03196112699,38.890371385
Virginia,Diabetic Eye Diseases,All Diabetic eye diseases,All ages,Female,"Hispanic, any race",0.15,0.1,0.2,40.0,26600.0,51,-78.45789046299,37.542680674
Illinois,Age Related Macular Degeneration,Unspecified-age related macular degeneration,65 years and older,All genders,Asian,0.23,0.14,0.38,20.0,7300.0,17,-88.99771017799,40.485010283
Iowa,Diabetic Eye Diseases,Diabetic macular edema,18-39 years,All genders,All races,0.05,0.04,0.06,120.0,231000.0,19,-93.81649055599,42.469400913
North Dakota,Orbital and External Disease,Dry eye syndrome,18-39 years,All genders,"Hispanic, any race",0.41,0.17,0.85,30.0,1700.0,38,-100.1184210489,47.475319779
New Mexico,Other Visual Disturbances,All Other visual disturbances,0-17 years,Female,"Hispanic, any race",0.84,0.79,0.9,820.0,96900.0,35,-106.2405809849,34.520880952
Minnesota,Orbital and External Disease,Other/unspecified orbital and external disease,65-84 years,All genders,Unknown,0.0,0.0,1.01,80.0,360.0,27,-94.79420050299,46.355648736
